acc_1,acc_2,acc_3,tacc,av_1,av_2,av_3,tav
7.161,0.47302,6.8188,28.971,0.20903,-0.020879,0.11879,29.025
7.1172,-0.63453,6.9535,29.07,-0.1677,-0.021508,0.10065,29.124
6.9035,0.14789,6.8995,29.169,0.21344,-0.029306,0.12522,29.223
7.4171,0.0053888,7.0556,29.268,-0.15386,-0.04051,0.10122,29.322
6.8266,-0.27947,6.3369,29.368,-0.07389,0.0089746,-0.04622,29.421
7.078,1.5819,7.0707,29.467,-0.18673,0.007767,-0.19988,29.52
6.7046,1.8608,7.2422,29.566,-0.59467,0.038121,-0.44441,29.619
6.9914,1.8816,7.0433,29.665,-0.60288,0.050913,-0.61056,29.718
7.691,-0.5784,7.1054,29.765,-0.45128,0.042327,-0.64335,29.817
7.6549,0.73392,6.1567,29.864,-0.62076,-0.019556,-0.81976,29.916
7.388,0.47826,5.6368,29.963,-0.73549,-0.049123,-0.77272,30.015
7.9387,-0.95801,5.9795,30.062,-0.57849,0.0020132,-0.58687,30.114
8.3278,-1.1989,6.0598,30.161,-0.5966,-0.015706,-0.55583,30.213
7.6627,0.10628,5.9266,30.261,-0.47768,-0.0114,-0.43075,30.312
7.3523,-1.5234,6.5689,30.36,-0.27875,0.0057205,-0.22462,30.411
7.5022,-1.747,6.2625,30.459,0.15144,0.0018831,-0.14176,30.51
7.1442,0.48544,6.689,30.558,0.098086,0.021126,-0.10425,30.609
7.0068,0.34922,6.6128,30.658,0.064648,0.014865,-0.12262,30.707
6.9246,0.17424,6.8502,30.757,-0.021358,-0.015759,-0.089239,30.806
7.0108,0.46164,7.1562,30.856,-0.042597,-0.0061962,0.039665,30.905
7.3277,-1.4173,7.1165,30.955,0.15708,0.0073189,0.26287,31.004
7.0351,-1.882,6.7864,31.054,0.53413,0.080173,0.52275,31.104
7.1964,-1.0382,6.7587,31.154,0.45177,0.040299,0.66647,31.203
8.5513,0.29713,7.234,31.253,0.57106,0.036316,0.86278,31.302
7.0756,0.65983,5.8084,31.352,0.93154,0.081368,0.81217,31.401
7.9838,0.033381,5.4627,31.451,0.68022,0.089335,0.85671,31.501
7.6777,0.77239,4.9773,31.551,0.83379,0.0769,0.76933,31.6
7.4554,0.77853,5.2381,31.65,0.67543,-0.011693,0.64905,31.699
6.72,2.1244,5.9148,31.749,0.69646,0.028489,0.42106,31.799
7.356,4.3622,5.9178,31.848,-0.22614,0.029514,0.068361,31.898
7.0777,0.31285,6.6945,31.948,-0.37157,-0.0043641,0.111,31.997
7.028,-0.57016,6.9387,32.047,0.3879,-0.032095,0.051655,32.097
6.9649,0.57645,6.4893,32.146,-0.40349,-0.0051768,0.10639,32.196
7.2268,0.96983,6.7685,32.245,-0.085378,-0.0075122,0.032707,32.295
6.9312,0.24729,7.1454,32.344,-0.19563,-0.020779,-0.061208,32.395
6.934,1.5821,7.1895,32.444,-0.33692,0.011409,-0.26762,32.494
7.2803,2.3119,6.7002,32.543,-0.29402,0.015553,-0.6383,32.594
7.1791,1.2653,6.2583,32.642,-0.56305,0.037411,-0.81348,32.693
7.9774,0.50071,6.2068,32.741,-0.53834,-0.029974,-0.87751,32.793
7.2574,0.11182,5.9024,32.841,-0.74669,-0.021304,-0.80288,32.892
7.735,0.22124,5.1342,32.94,-0.70419,-0.010181,-0.72102,32.992
7.6705,-0.35791,6.5062,33.039,-0.68507,-0.05106,-0.63166,33.092
7.515,-1.0629,6.3746,33.138,-0.49213,-0.030571,-0.4904,33.191
7.4545,-0.85098,6.1516,33.237,-0.30072,-0.011861,-0.35337,33.291
7.3912,-1.389,6.4751,33.337,-0.0098842,-0.0048414,-0.18785,33.39
7.3193,-1.331,6.671,33.436,0.10289,-1.5633e-06,-0.086689,33.49
7.0102,1.7398,6.8825,33.535,-0.10144,-0.021261,-0.088377,33.59
6.9113,0.44637,6.8501,33.634,-0.13885,0.0037954,-0.13149,33.689
6.9236,1.5255,7.0875,33.733,-0.18726,-0.002955,-0.032099,33.789
6.77,0.35027,7.1707,33.833,0.029539,0.0036261,0.023788,33.889
6.8408,-0.52541,7.0378,33.932,0.15185,0.033759,0.21783,33.989
7.125,-1.3688,6.9233,34.031,0.22007,0.067362,0.51601,34.089
6.8813,-1.0385,6.461,34.13,0.62324,0.035426,0.67148,34.188
